epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3397,0.90106,3.03795,1.21328,0.01329,0.94002,0.22151,0.15954,0.51837,2.95594,1.01299,5.001e-05,5.001e-05,5.001e-05
2,56.8723,0.77044,2.86011,1.17484,0.0144,0.96429,0.42718,0.31998,0.57382,2.9202,0.98122,0.000110914,0.000110914,0.000110914
3,77.298,0.62442,2.64926,1.01539,0.01596,0.98214,0.63576,0.50314,0.45627,2.89846,0.92915,0.000165216,0.000165216,0.000165216
4,97.5428,0.52976,2.47105,0.99077,0.01675,0.98571,0.67969,0.55207,0.50344,2.88539,0.95082,0.000212918,0.000212918,0.000212918
5,118.197,0.65747,2.36216,1.05341,0.01634,0.98645,0.68015,0.5502,0.48967,2.87182,0.95122,0.000254017,0.000254017,0.000254017
6,139.462,0.5824,2.2534,1.03202,0.01534,0.97647,0.66698,0.53831,0.5028,2.85461,0.97874,0.000288516,0.000288516,0.000288516
7,160.825,0.57822,2.09274,1.00341,0.01528,0.98361,0.68311,0.55689,0.51806,2.81955,0.98019,0.000316413,0.000316413,0.000316413
8,181.769,0.55345,1.89839,0.9815,0.01484,0.98004,0.72643,0.61207,0.47617,2.73737,0.92801,0.000337709,0.000337709,0.000337709
9,202.836,0.57781,1.7429,0.97284,0.01449,0.98645,0.75735,0.64872,0.48301,2.66878,0.91936,0.000352404,0.000352404,0.000352404
10,223.844,0.62096,1.67347,1.01007,0.01394,0.98645,0.79382,0.67811,0.48195,2.63253,0.92445,0.000360497,0.000360497,0.000360497
11,245.073,0.52727,1.54331,0.9767,0.01368,0.96648,0.76536,0.58002,0.67452,2.72079,1.10519,0.000361989,0.000361989,0.000361989
12,265.854,0.63374,1.51934,1.10843,1,0.09198,0.74592,0.56429,0.73567,2.66893,1.14963,0.00035688,0.00035688,0.00035688
13,287.446,0.56228,1.43215,1.0507,0.98086,0.18449,0.76576,0.61169,0.66204,2.57495,1.06622,0.000345169,0.000345169,0.000345169
14,308.226,0.6515,1.59104,1.11363,1,0.29486,0.8323,0.70068,0.56733,2.4691,0.97125,0.000326857,0.000326857,0.000326857
15,329.397,0.48618,1.2027,0.97576,0.98407,0.58514,0.89906,0.80356,0.4644,2.22794,0.8969,0.000301944,0.000301944,0.000301944
16,350.15,0.49392,1.25865,0.99423,0.95388,0.66247,0.91327,0.81466,0.47065,2.12628,0.90642,0.000270429,0.000270429,0.000270429
17,370.555,0.4751,1.27679,1.0117,0.93427,0.69644,0.92012,0.81416,0.48371,2.04658,0.91669,0.000232313,0.000232313,0.000232313
18,391.109,0.5537,1.33445,1.01218,0.94041,0.76646,0.93349,0.85015,0.4404,1.90271,0.87972,0.000187596,0.000187596,0.000187596
19,411.998,0.47326,1.25078,1.00934,0.94672,0.77199,0.94131,0.87459,0.41106,1.83884,0.85738,0.000136277,0.000136277,0.000136277
20,431.97,0.43933,1.12492,0.94465,0.95627,0.78184,0.94997,0.88395,0.39605,1.77946,0.85058,7.83573e-05,7.83573e-05,7.83573e-05
